Geography ID,Transportation Burden Pct Income,Energy Burden Pct Income
G01089002200,0.028679045,0.0416
G01053970100,0.027688607,0.0326
G01101005611,0.029455749,0.0189
G01051031300,0.033887802,0.0326
G01087231800,0.02522808,0.0421
G01127021200,0.042725793,0.054
G01095030402,0.037477169,0.0297
G01051031200,0.040427615,0.0395999999999999
G01125012800,0.041765149,0.0647
G01055000200,0.030173575,0.0636
G01069041600,0.034262826,0.0438999999999999
G01051030901,0.028479484,0.0277
G01033020500,0.033327426,0.0317
G01051030800,0.029860781,0.0348
G01051030702,0.031923887,0.0237999999999999
G01051030701,0.029516011,0.0231
G01089010623,0.023315568,0.0168
G01051030500,0.037916076,0.0409999999999999
G01073001902,0.041222446,0.0732
G01065040300,0.045050748,0.0661
G01109188900,0.055407524,0.0467999999999999
G01101001600,0.032069401,0.069
G01097006404,0.030556188,0.0305
G01073004701,0.024602378,0.0222
G01049961300,0.046609737,0.0409999999999999
G01101001400,0.021579836,0.0268
G01049961000,0.038050028,0.0462
G01087232300,0.029985291,0.0839
G01089000201,0.037821529,0.0533
G01049960900,0.048284449,0.0458999999999999
G01049960800,0.060046844,0.051
G01095030701,0.028871581,0.0275
G01071950900,0.030292738,0.0349
G01073011104,0.033627446,0.0445
G01121010301,0.046913421,0.0596999999999999
G01049960400,0.050884907,0.0398
G01097006105,0.033968162,0.037
G01073012103,0.033082918,0.0472
G01073013300,0.026033683,0.0698
G01073000500,0.020598392,0.0704
G01003010704,0.035282037,0.0231
G01097006000,0.046510163,0.0542999999999999
G01073013200,0.044078787,0.0682
G01095030903,0.040719474,0.0365
G01119011400,0.050751756,0.0881
G01047956800,0.034273287,0.0448
G01073014203,0.028961513,0.0305
G01053969800,0.040302088,0.0530999999999999
G01047956300,0.039761303,0.0632
G01055000600,0.041760624,0.0676
G01101005301,0.029293681,0.026
G01043965000,0.027578859,0.0501999999999999
G01073011703,0.028707226,0.0304
G01053970700,0.031118643,0.0412
G01047956202,0.0475756,0.0478
G01101003100,0.034955802,0.055
G01047956201,0.052171299,0.0507
G01117030608,0.024864771,0.0242
G01097005500,0.039657775,0.0455999999999999
G01069042100,0.039227702,0.0369
G01045021101,0.033868958,0.0345
G01003011501,0.030941688,0.0338
G01045020801,0.024830857,0.0429
G01061050500,0.045870118,0.0496999999999999
G01073011904,0.028503469,0.0446
G01073005600,0.026559688,0.0308999999999999
G01051031000,0.038635106,0.0283999999999999
G01097003709,0.034488911,0.0227
G01069041800,0.033339253,0.0506
G01045020700,0.033225065,0.0709
G01073003803,0.023529037,0.0782
G01045020300,0.032558358,0.036
G01045020100,0.048197838,0.0296
G01089000503,0.021208707,0.0372
G01071951100,0.049166655,0.0516999999999999
G01047956400,0.02748299,0.1173
G01101003000,0.022417234,0.0762
G01015001100,0.030701636,0.0299
G01097003406,0.050361091,0.0432
G01043965500,0.040985015,0.0527
