id,metric,value,moe,state_id,dataset_id
346,Mental health not good for >= 14 days among adults >= 18,16.2,1.049107143,50,14
347,COPD among adults >= 18,5.3,0.29375,52,14
348,Cancer (excluding skin cancer) among adults >= 18,8.5,0.335714286,52,14
349,Coronary heart disease among adults >= 18,3.6,0.209821429,52,14
350,Stroke among adults >= 18,2.9,0.209821429,52,14
351,Diabetes among adults >= 18,9.7,0.377678571,52,14
352,Current asthma among adults >= 18,10.9,0.419642857,52,14
353,Mental health not good for >= 14 days among adults >= 18,16.5,0.545535714,52,14
354,COPD among adults >= 18,6.4,0.545535714,5,14
355,Cancer (excluding skin cancer) among adults >= 18,8.4,0.503571429,5,14
356,Coronary heart disease among adults >= 18,4.6,0.377678571,5,14
357,Stroke among adults >= 18,3.3,0.377678571,5,14
358,Diabetes among adults >= 18,10.3,0.545535714,5,14
359,Current asthma among adults >= 18,10.9,0.671428571,5,14
360,Mental health not good for >= 14 days among adults >= 18,16.1,0.88125,5,14
361,COPD among adults >= 18,14,0.965178571,53,14
362,Cancer (excluding skin cancer) among adults >= 18,10.8,0.797321429,53,14
363,Coronary heart disease among adults >= 18,7.1,0.671428571,53,14
364,Stroke among adults >= 18,5.6,0.5875,53,14
365,Diabetes among adults >= 18,17.4,1.007142857,53,14
366,Current asthma among adults >= 18,12.9,1.007142857,53,14
367,Mental health not good for >= 14 days among adults >= 18,21.1,1.258928571,53,14
368,COPD among adults >= 18,6.9,0.671428571,54,14
369,Cancer (excluding skin cancer) among adults >= 18,8.3,0.755357143,54,14
370,Coronary heart disease among adults >= 18,3.6,0.545535714,54,14
371,Stroke among adults >= 18,3.4,0.503571429,54,14
372,Diabetes among adults >= 18,9.3,0.797321429,54,14
373,Current asthma among adults >= 18,10.5,1.049107143,54,14
374,Mental health not good for >= 14 days among adults >= 18,14.8,1.300892857,54,14
